	Original ID	Gene Name in CARD	ARO	Database
30	MEG_364|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME			megares
31	MEG_3434|Drugs|Rifampin|Monooxygenase|IRI			megares
32	MEG_558|Drugs|betalactams|Class_C_betalactamases|ADC			megares
33	MEG_1281|Drugs|betalactams|Class_C_betalactamases|BLAEC			megares
34	MEG_5253|Drugs|betalactams|Class_D_betalactamases|OXA			megares
35	MEG_5566|Drugs|betalactams|Class_C_betalactamases|PDC			megares
36	MEG_6134|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation			megares
37	MEG_1658|Drugs|betalactams|Class_B_betalactamases|CFIA			megares
38	MEG_3288|Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPB			megares
39	MEG_5480|Drugs|betalactams|Class_C_betalactamases|PDC			megares
40	MEG_505|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_regulator|ACTS			megares
41	MEG_1641|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|CDEA			megares
42	MEG_4368|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB			megares
43	MEG_3217|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation			megares
44	MEG_7609|Drugs|Glycopeptides|VanF-type_accessory_protein|VANYF			megares
45	MEG_3819|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA			megares
46	MEG_7486|Drugs|Glycopeptides|VanA-type_regulator|VANSA			megares
47	MEG_1233|Drugs|betalactams|Class_C_betalactamases|BIL			megares
48	MEG_3527|Drugs|betalactams|Class_B_betalactamases|L1			megares
49	MEG_3777|Drugs|betalactams|Penicillin_binding_protein|MECA			megares
50	MEG_4803|Drugs|betalactams|Class_D_betalactamases|OXA			megares
51	MEG_4904|Drugs|betalactams|Class_D_betalactamases|OXA			megares
52	MEG_3685|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR			megares
53	MEG_2347|Drugs|betalactams|Class_A_betalactamases|CTX			megares
54	MEG_1041|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME			megares
55	MEG_1636|Drugs|betalactams|Class_A_betalactamases|CBLA			megares
56	MEG_7193|Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation			megares
57	MEG_4945|Drugs|betalactams|Class_D_betalactamases|OXA			megares
58	MEG_6241|Drugs|betalactams|Class_A_betalactamases|SHV			megares
59	MEG_6789|Drugs|betalactams|Class_A_betalactamases|TEM			megares
60	MEG_2869|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS			megares
61	MEG_2815|Drugs|MLS|23S_rRNA_methyltransferases|ERMC			megares
62	MEG_2691|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBC			megares
63	MEG_404|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD			megares
64	MEG_2122|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR			megares
65	MEG_4539|Drugs|betalactams|Class_D_betalactamases|OXA			megares
66	MEG_1586|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA			megares
67	MEG_2236|Drugs|betalactams|Class_A_betalactamases|CTX			megares
68	MEG_6682|Drugs|betalactams|Class_A_betalactamases|TEM			megares
69	MEG_1404|Drugs|betalactams|Class_A_betalactamases|BLAZ			megares
70	MEG_7474|Drugs|Glycopeptides|VanC-type_regulator|VANRC			megares
71	MEG_2395|Drugs|betalactams|Class_A_betalactamases|CTX			megares
72	MEG_7792|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|VMEI			megares
73	MEG_2777|Drugs|MLS|23S_rRNA_methyltransferases|ERM37			megares
74	MEG_7601|Drugs|Glycopeptides|VanD-type_accessory_protein|VANYD			megares
75	MEG_2582|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRK			megares
76	MEG_6179|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SEPA			megares
77	MEG_1110|Drugs|betalactams|Class_A_betalactamases|ARL			megares
78	MEG_1495|Drugs|betalactams|Class_A_betalactamases|CARB			megares
79	MEG_6971|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32			megares
80	MEG_1379|Drugs|betalactams|Class_A_betalactamases|BLAZ			megares
81	MEG_4534|Drugs|betalactams|Class_D_betalactamases|OXA			megares
82	MEG_1697|Drugs|betalactams|Class_A_betalactamases|CFX			megares
83	MEG_1668|Drugs|betalactams|Class_B_betalactamases|CFIA			megares
84	MEG_5977|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB			megares
85	MEG_136|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME			megares
86	MEG_7811|Metals|Iron_resistance|Iron_resistance_protein|YBTP			megares
87	MEG_4759|Drugs|betalactams|Class_D_betalactamases|OXA			megares
88	MEG_3319|Drugs|betalactams|Class_B_betalactamases|IMP			megares
89	MEG_308|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME			megares
90	MEG_2656|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPR			megares
91	MEG_3945|Drugs|MLS|Macrolide_glycosyltransferases|MGT			megares
92	MEG_7198|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETS			megares
93	MEG_379|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|ABES			megares
94	MEG_4328|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA			megares
95	MEG_6130|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation			megares
96	MEG_3069|Drugs|Fusidic_acid|Ribosomal_zinc-binding_protein|FUSD			megares
97	MEG_4656|Drugs|betalactams|Class_D_betalactamases|OXA			megares
98	MEG_504|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_regulator|ACTR			megares
99	MEG_5817|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTS			megares
100	MEG_7452|Drugs|Glycopeptides|VanA-type_regulator|VANRA			megares
101	MEG_2357|Drugs|betalactams|Class_A_betalactamases|CTX			megares
102	MEG_7842|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_pumps|YOGI			megares
103	MEG_5396|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARY			megares
104	MEG_4639|Drugs|betalactams|Class_D_betalactamases|OXA			megares
105	MEG_5265|Drugs|betalactams|Class_D_betalactamases|OXA			megares
106	MEG_7499|Drugs|Glycopeptides|VanC-type_regulator|VANSC			megares
107	MEG_5197|Drugs|betalactams|Class_D_betalactamases|OXA			megares
108	MEG_4595|Drugs|betalactams|Class_D_betalactamases|OXA			megares
109	MEG_7506|Drugs|Glycopeptides|VanD-type_regulator|VANSD			megares
110	MEG_2091|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORC			megares
111	MEG_1559|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CAT			megares
112	MEG_7702|Drugs|betalactams|Class_B_betalactamases|VIM			megares
113	MEG_524|Drugs|betalactams|Class_C_betalactamases|ADC			megares
114	MEG_1969|Drugs|betalactams|Class_C_betalactamases|CMY			megares
115	MEG_2134|Drugs|betalactams|Class_C_betalactamases|CSA			megares
116	MEG_4043|Drugs|MLS|Macrolide_phosphotransferases|MPHE			megares
117	MEG_1859|Drugs|betalactams|Class_C_betalactamases|CMY			megares
118	MEG_6705|Drugs|betalactams|Class_A_betalactamases|TEM			megares
119	MEG_2257|Drugs|betalactams|Class_A_betalactamases|CTX			megares
120	MEG_7758|Drugs|betalactams|Class_B_betalactamases|VIM			megares
121	MEG_2218|Drugs|betalactams|Class_A_betalactamases|CTX			megares
122	MEG_458|Drugs|betalactams|Class_C_betalactamases|ACT			megares
123	MEG_4986|Drugs|betalactams|Class_D_betalactamases|OXA			megares
124	MEG_103|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME			megares
125	MEG_2801|Drugs|MLS|23S_rRNA_methyltransferases|ERMB			megares
126	MEG_4185|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIME			megares
127	MEG_5345|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation			megares
128	MEG_978|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME			megares
129	MEG_3624|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|LPEA			megares
130	MEG_1497|Drugs|betalactams|Class_A_betalactamases|CARB			megares
131	MEG_5601|Drugs|betalactams|Class_C_betalactamases|PDC			megares
132	MEG_4603|Drugs|betalactams|Class_D_betalactamases|OXA			megares
133	MEG_694|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEK			megares
134	MEG_4410|Drugs|betalactams|Class_D_betalactamases|OXA			megares
135	MEG_5017|Drugs|betalactams|Class_D_betalactamases|OXA			megares
136	MEG_2937|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation			megares
137	MEG_288|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME			megares
138	MEG_2658|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPR			megares
139	MEG_915|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME			megares
140	MEG_5744|Drugs|betalactams|Class_C_betalactamases|PDC			megares
141	MEG_5143|Drugs|betalactams|Class_D_betalactamases|OXA			megares
142	MEG_3706|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR			megares
143	MEG_2414|Drugs|betalactams|Class_A_betalactamases|CTX			megares
144	MEG_1782|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|CMTR			megares
145	MEG_4669|Drugs|betalactams|Class_D_betalactamases|OXA			megares
146	MEG_4587|Drugs|betalactams|Class_D_betalactamases|OXA			megares
147	MEG_6224|Drugs|betalactams|Class_A_betalactamases|SHV			megares
148	MEG_7135|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM			megares
149	MEG_7030|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA			megares
150	MEG_7715|Drugs|betalactams|Class_B_betalactamases|VIM			megares
151	MEG_714|Metals|Arsenic_resistance|Arsenite_oxidase|AIOE			megares
152	MEG_3660|Drugs|betalactams|Class_A_betalactamases|MAL			megares
153	MEG_2916|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR			megares
154	MEG_4859|Drugs|betalactams|Class_D_betalactamases|OXA			megares
155	MEG_7821|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|YFEA			megares
156	MEG_5028|Drugs|betalactams|Class_D_betalactamases|OXA			megares
157	MEG_4135|Drugs|betalactams|Class_B_betalactamases|NDM			megares
158	MEG_2954|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation			megares
159	MEG_2997|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA			megares
160	MEG_2810|Drugs|MLS|23S_rRNA_methyltransferases|ERMC			megares
161	MEG_5773|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|PEXA			megares
162	MEG_1475|Drugs|betalactams|Class_A_betalactamases|BRO			megares
163	MEG_4072|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRC			megares
164	MEG_7356|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC			megares
165	MEG_2072|Metals|Copper_resistance|Copper_resistance_regulator|COPR			megares
166	MEG_1152|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM			megares
167	MEG_5545|Drugs|betalactams|Class_C_betalactamases|PDC			megares
168	MEG_1093|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6			megares
169	MEG_238|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME			megares
170	MEG_717|Metals|Arsenic_resistance|Arsenite_oxidase_regulator|AIOX			megares
171	MEG_1299|Drugs|betalactams|Penicillin_binding_protein_regulator|BLAR			megares
172	MEG_7071|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETE			megares
173	MEG_4717|Drugs|betalactams|Class_D_betalactamases|OXA			megares
174	MEG_6523|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SME			megares
175	MEG_3916|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXJ			megares
176	MEG_2822|Drugs|MLS|23S_rRNA_methyltransferases|ERMC			megares
177	MEG_1748|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|CMER			megares
178	MEG_5292|Drugs|betalactams|Class_A_betalactamases|OXY			megares
179	MEG_500|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ACTP			megares
180	MEG_1611|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation			megares
181	MEG_5655|Drugs|betalactams|Class_C_betalactamases|PDC			megares
182	MEG_3083|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADX			megares
183	MEG_3808|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA			megares
184	MEG_248|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME			megares
185	MEG_4504|Drugs|betalactams|Class_D_betalactamases|OXA			megares
186	MEG_946|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME			megares
187	MEG_1808|Drugs|betalactams|Class_C_betalactamases|CMY			megares
188	MEG_6614|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI			megares
189	MEG_321|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME			megares
190	MEG_4562|Drugs|betalactams|Class_D_betalactamases|OXA			megares
191	MEG_5095|Drugs|betalactams|Class_D_betalactamases|OXA			megares
192	MEG_5449|Drugs|betalactams|Class_C_betalactamases|PDC			megares
193	MEG_6815|Drugs|betalactams|Class_A_betalactamases|TEM			megares
194	MEG_4355|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB			megares
195	MEG_1161|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSCM			megares
196	MEG_5090|Drugs|betalactams|Class_D_betalactamases|OXA			megares
197	MEG_3403|Drugs|betalactams|Class_B_betalactamases|IND			megares
198	MEG_5870|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRA			megares
199	MEG_3574|Drugs|betalactams|Class_A_betalactamases|LEN			megares
200	MEG_561|Drugs|betalactams|Class_C_betalactamases|ADC			megares
201	MEG_6837|Drugs|betalactams|Class_A_betalactamases|TEM			megares
202	MEG_497|Drugs|betalactams|Class_C_betalactamases|ACT			megares
203	MEG_2573|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRC|RequiresSNPConfirmation			megares
204	MEG_1975|Drugs|betalactams|Class_C_betalactamases|CMY			megares
205	MEG_3675|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR			megares
206	MEG_6188|Drugs|betalactams|Class_A_betalactamases|SHV			megares
207	MEG_1520|Drugs|betalactams|Class_A_betalactamases|CARB			megares
208	MEG_4747|Drugs|betalactams|Class_D_betalactamases|OXA			megares
209	MEG_962|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME			megares
210	MEG_1080|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME			megares
211	MEG_1514|Drugs|betalactams|Class_A_betalactamases|CARB			megares
212	MEG_2137|Drugs|betalactams|Class_A_betalactamases|CSP			megares
213	MEG_1286|Drugs|betalactams|Class_A_betalactamases|BLAF			megares
214	MEG_2493|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA			megares
215	MEG_1836|Drugs|betalactams|Class_C_betalactamases|CMY			megares
216	MEG_2870|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS			megares
217	MEG_1938|Drugs|betalactams|Class_C_betalactamases|CMY			megares
218	MEG_4013|Drugs|betalactams|Class_C_betalactamases|MOX			megares
219	MEG_6504|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILF			megares
220	MEG_2523|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA			megares
221	MEG_874|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME			megares
222	MEG_7188|Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation			megares
223	MEG_1714|Metals|Chromium_resistance|Chromium_resistance_protein|CHRE			megares
224	MEG_3091|Drugs|betalactams|Class_A_betalactamases|GES			megares
225	MEG_1540|Drugs|betalactams|Class_A_betalactamases|CARB			megares
226	MEG_6953|Drugs|betalactams|Class_A_betalactamases|TER			megares
227	MEG_302|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME			megares
228	MEG_4751|Drugs|betalactams|Class_D_betalactamases|OXA			megares
229	MEG_2892|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FBPC			megares
230	MEG_3100|Drugs|betalactams|Class_A_betalactamases|GES			megares
231	MEG_5858|Drugs|Fluoroquinolones|Quinolone_active_efflux|QEPA			megares
232	MEG_4065|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRA			megares
233	MEG_3955|Drugs|betalactams|Class_C_betalactamases|MIR			megares
234	MEG_5018|Drugs|betalactams|Class_D_betalactamases|OXA			megares
235	MEG_6641|Drugs|Sulfonamides|Flavin_reductase|SULR			megares
236	MEG_1064|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME			megares
237	MEG_4936|Drugs|betalactams|Class_D_betalactamases|OXA			megares
238	MEG_7778|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|VMEA			megares
239	MEG_3365|Drugs|betalactams|Class_B_betalactamases|IMP			megares
240	MEG_37|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3			megares
241	MEG_5312|Drugs|betalactams|Class_A_betalactamases|OXY			megares
242	MEG_5476|Drugs|betalactams|Class_C_betalactamases|PDC			megares
243	MEG_1733|Drugs|betalactams|Class_C_betalactamases|CMA			megares
244	MEG_3041|Drugs|betalactams|Class_C_betalactamases|FOX			megares
245	MEG_2433|Drugs|betalactams|Class_A_betalactamases|CTX			megares
246	MEG_7458|Drugs|Glycopeptides|VanA-type_regulator|VANRA			megares
247	MEG_7090|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETK			megares
248	MEG_870|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME			megares
249	MEG_5148|Drugs|betalactams|Class_D_betalactamases|OXA			megares
250	MEG_5571|Drugs|betalactams|Class_C_betalactamases|PDC			megares
251	MEG_1768|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA			megares
252	MEG_910|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME			megares
253	MEG_6790|Drugs|betalactams|Class_A_betalactamases|TEM			megares
254	MEG_7214|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW			megares
255	MEG_6062|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|RMTB			megares
256	MEG_924|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME			megares
257	MEG_2462|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZCA			megares
258	MEG_6697|Drugs|betalactams|Class_A_betalactamases|TEM			megares
259	MEG_5105|Drugs|betalactams|Class_D_betalactamases|OXA			megares
260	MEG_7812|Metals|Iron_resistance|Iron_resistance_protein|YBTQ			megares
261	MEG_1443|Drugs|betalactams|Class_A_betalactamases|BLAZ			megares
262	MEG_2331|Drugs|betalactams|Class_A_betalactamases|CTX			megares
263	MEG_7033|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA			megares
264	MEG_589|Drugs|betalactams|Class_C_betalactamases|ADC			megares
265	MEG_3847|Metals|Mercury_resistance|Mercury_resistance_protein|MERB			megares
266	MEG_6975|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET33			megares
267	MEG_4116|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|NCCX			megares
268	MEG_5395|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PAREF|RequiresSNPConfirmation			megares
269	MEG_5863|Drugs|Fluoroquinolones|Quinolone_active_efflux|QEPA			megares
270	MEG_5927|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB			megares
271	MEG_5041|Drugs|betalactams|Class_D_betalactamases|OXA			megares
272	MEG_7467|Drugs|Glycopeptides|VanB-type_regulator|VANRB			megares
273	MEG_6993|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40			megares
274	MEG_6670|Drugs|betalactams|Class_A_betalactamases|TEM			megares
275	MEG_5498|Drugs|betalactams|Class_C_betalactamases|PDC			megares
276	MEG_1306|Drugs|betalactams|Class_A_betalactamases|BLASGM			megares
277	MEG_496|Drugs|betalactams|Class_C_betalactamases|ACT			megares
278	MEG_1966|Drugs|betalactams|Class_C_betalactamases|CMY			megares
279	MEG_279|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME			megares
280	MEG_4875|Drugs|betalactams|Class_D_betalactamases|OXA			megares
281	MEG_2487|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA			megares
282	MEG_5663|Drugs|betalactams|Class_C_betalactamases|PDC			megares
283	MEG_7|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation			megares
284	MEG_4586|Drugs|betalactams|Class_D_betalactamases|OXA			megares
285	MEG_1876|Drugs|betalactams|Class_C_betalactamases|CMY			megares
286	MEG_6303|Drugs|betalactams|Class_A_betalactamases|SHV			megares
287	MEG_6860|Drugs|betalactams|Class_A_betalactamases|TEM			megares
288	MEG_7752|Drugs|betalactams|Class_B_betalactamases|VIM			megares
289	MEG_5451|Drugs|betalactams|Class_C_betalactamases|PDC			megares
290	MEG_1221|Drugs|betalactams|Class_A_betalactamases|BEL			megares
291	MEG_1383|Drugs|betalactams|Class_A_betalactamases|BLAZ			megares
292	MEG_7707|Drugs|betalactams|Class_B_betalactamases|VIM			megares
293	MEG_3709|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR			megares
294	MEG_5174|Drugs|betalactams|Class_D_betalactamases|OXA			megares
295	MEG_3625|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|LPEB			megares
296	MEG_6480|Drugs|betalactams|Class_A_betalactamases|SHV			megares
297	MEG_4592|Drugs|betalactams|Class_D_betalactamases|OXA			megares
298	MEG_984|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME			megares
299	MEG_6329|Drugs|betalactams|Class_A_betalactamases|SHV			megares
300	MEG_2407|Drugs|betalactams|Class_A_betalactamases|CTX			megares
301	MEG_7291|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|TTGC			megares
302	MEG_6776|Drugs|betalactams|Class_A_betalactamases|TEM			megares
303	MEG_5818|Drugs|betalactams|Class_A_betalactamases|PSV			megares
304	MEG_7669|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|VEXB			megares
305	MEG_2036|Metals|Copper_resistance|Copper_resistance_protein|COPB			megares
306	MEG_1939|Drugs|betalactams|Class_C_betalactamases|CMY			megares
307	MEG_1857|Drugs|betalactams|Class_C_betalactamases|CMY			megares
308	MEG_5981|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB			megares
309	MEG_6135|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation			megares
310	MEG_5429|Drugs|betalactams|Class_C_betalactamases|PDC			megares
311	MEG_53|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3			megares
312	MEG_1137|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR			megares
313	MEG_265|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME			megares
